candidate_id,gender,age_group,region,college_tier,years_experience,assessment_score,interview_score,hired
1,Male,20-25,Urban,Tier2,1,83,87,1
2,Male,26-30,Urban,Tier1,3,72,78,1
3,Male,26-30,Rural,Tier3,6,54,68,0
4,Female,31-35,Urban,Tier3,6,61,57,0
5,Male,20-25,Rural,Tier1,6,46,62,0
6,Female,26-30,Rural,Tier3,8,47,99,0
7,Female,20-25,Urban,Tier2,5,76,52,0
8,Male,20-25,Urban,Tier2,1,94,54,1
9,Male,26-30,Urban,Tier3,2,63,62,0
10,Male,26-30,Rural,Tier2,1,78,80,1
11,Male,26-30,Urban,Tier2,4,99,80,1
12,Male,26-30,Rural,Tier3,3,92,42,0
13,Female,26-30,Urban,Tier3,9,96,85,1
14,Female,20-25,Urban,Tier3,10,69,49,0
15,Female,20-25,Rural,Tier2,9,67,97,1
16,Female,26-30,Rural,Tier1,7,45,88,0
17,Male,31-35,Urban,Tier1,10,67,78,1
18,Male,26-30,Urban,Tier2,4,75,95,1
19,Male,26-30,Urban,Tier3,4,89,81,1
20,Female,20-25,Urban,Tier2,4,72,88,1
21,Male,26-30,Urban,Tier2,10,72,78,1
22,Male,20-25,Rural,Tier2,8,98,40,1
23,Female,26-30,Urban,Tier2,4,55,43,0
24,Male,31-35,Rural,Tier1,7,92,44,1
25,Male,20-25,Urban,Tier2,4,73,95,1
26,Female,31-35,Rural,Tier3,3,85,59,0
27,Female,31-35,Rural,Tier2,8,68,47,0
28,Male,20-25,Urban,Tier2,3,77,54,0
29,Male,20-25,Rural,Tier2,0,95,61,1
30,Male,26-30,Urban,Tier2,8,48,86,1
31,Female,20-25,Urban,Tier2,1,46,82,0
32,Female,26-30,Urban,Tier3,0,83,81,0
33,Male,20-25,Rural,Tier3,1,55,52,0
34,Male,26-30,Urban,Tier1,7,55,95,1
35,Male,26-30,Rural,Tier2,0,81,74,1
36,Male,31-35,Rural,Tier3,2,66,71,0
37,Female,20-25,Urban,Tier1,6,40,64,0
38,Female,31-35,Rural,Tier2,8,82,85,1
39,Female,20-25,Urban,Tier3,9,87,74,1
40,Male,31-35,Urban,Tier2,8,98,94,1
41,Male,20-25,Urban,Tier3,1,78,44,0
42,Male,26-30,Rural,Tier2,9,78,42,0
43,Male,26-30,Urban,Tier2,4,53,82,0
44,Female,20-25,Urban,Tier2,4,69,60,0
45,Male,20-25,Rural,Tier2,1,44,74,0
46,Male,26-30,Urban,Tier2,1,96,55,1
47,Female,20-25,Urban,Tier2,4,79,91,1
48,Male,26-30,Urban,Tier3,1,100,96,1
49,Male,20-25,Rural,Tier3,2,57,58,0
50,Male,31-35,Urban,Tier2,4,72,71,1
51,Female,31-35,Rural,Tier1,6,93,57,1
52,Male,20-25,Rural,Tier2,4,50,87,1
53,Female,26-30,Urban,Tier1,1,100,96,1
54,Male,26-30,Rural,Tier2,2,67,48,0
55,Male,26-30,Rural,Tier3,0,97,62,1
56,Male,26-30,Rural,Tier2,8,96,95,1
57,Female,31-35,Rural,Tier3,3,95,50,0
58,Male,31-35,Urban,Tier3,5,90,99,1
59,Female,31-35,Rural,Tier3,4,50,90,0
60,Male,26-30,Urban,Tier2,3,92,98,1
61,Female,26-30,Rural,Tier3,3,41,82,0
62,Male,26-30,Urban,Tier1,4,62,81,1
63,Female,26-30,Rural,Tier2,0,47,96,0
64,Female,20-25,Rural,Tier2,1,78,67,0
65,Female,31-35,Urban,Tier2,8,47,64,0
66,Male,20-25,Rural,Tier1,8,83,86,1
67,Male,26-30,Urban,Tier2,5,79,60,1
68,Male,31-35,Urban,Tier2,6,60,65,0
69,Female,26-30,Urban,Tier2,6,83,87,1
70,Male,26-30,Urban,Tier2,0,59,58,0
71,Male,26-30,Urban,Tier2,7,68,68,1
72,Male,26-30,Rural,Tier3,2,82,45,0
73,Female,26-30,Rural,Tier2,3,83,59,0
74,Male,31-35,Urban,Tier1,7,79,94,1
75,Male,26-30,Rural,Tier2,6,71,65,1
76,Male,20-25,Rural,Tier3,1,89,67,1
77,Male,20-25,Rural,Tier2,0,75,55,0
78,Male,26-30,Rural,Tier2,8,78,60,1
79,Female,26-30,Rural,Tier2,8,68,97,1
80,Male,31-35,Urban,Tier2,3,93,80,1
81,Female,31-35,Urban,Tier2,4,68,44,0
82,Female,20-25,Urban,Tier3,1,48,49,0
83,Male,26-30,Urban,Tier2,6,66,61,0
84,Female,26-30,Urban,Tier2,9,100,84,1
85,Male,31-35,Rural,Tier2,0,100,62,1
86,Female,31-35,Rural,Tier3,6,74,87,1
87,Male,26-30,Urban,Tier2,6,61,82,1
88,Female,31-35,Rural,Tier3,9,74,41,0
89,Female,26-30,Rural,Tier1,6,48,95,1
90,Female,20-25,Urban,Tier2,7,60,61,0
91,Female,20-25,Rural,Tier2,1,70,41,0
92,Male,31-35,Urban,Tier2,10,42,88,1
93,Male,31-35,Urban,Tier1,2,55,48,0
94,Female,26-30,Urban,Tier2,4,89,63,1
95,Male,26-30,Rural,Tier3,2,59,46,0
96,Male,31-35,Urban,Tier3,6,65,100,1
97,Male,20-25,Rural,Tier2,1,84,89,1
98,Female,31-35,Rural,Tier1,9,90,42,1
99,Female,26-30,Rural,Tier1,10,61,40,0
100,Female,31-35,Urban,Tier3,10,97,93,1
101,Female,31-35,Urban,Tier3,10,57,79,0
102,Female,26-30,Rural,Tier2,5,94,55,1
103,Male,20-25,Urban,Tier3,9,79,82,1
104,Female,26-30,Urban,Tier2,7,53,62,0
105,Female,26-30,Rural,Tier3,4,75,40,0
106,Male,20-25,Rural,Tier2,3,84,70,1
107,Female,26-30,Urban,Tier2,6,84,55,0
108,Female,26-30,Urban,Tier2,5,67,87,1
109,Female,26-30,Urban,Tier2,3,47,86,0
110,Male,26-30,Rural,Tier3,2,52,53,0
111,Female,20-25,Urban,Tier3,9,58,46,0
112,Male,20-25,Urban,Tier2,8,48,57,0
113,Male,31-35,Urban,Tier2,2,80,95,1
114,Female,20-25,Urban,Tier2,7,68,61,0
115,Male,31-35,Urban,Tier3,1,92,44,0
116,Female,26-30,Urban,Tier2,2,49,91,0
117,Female,20-25,Urban,Tier2,6,78,78,1
118,Male,31-35,Urban,Tier3,4,95,77,1
119,Female,26-30,Rural,Tier2,1,100,88,1
120,Male,26-30,Urban,Tier1,3,51,75,0
121,Male,20-25,Urban,Tier2,7,58,42,0
122,Male,20-25,Urban,Tier3,1,83,54,0
123,Female,31-35,Rural,Tier2,3,67,47,0
124,Male,26-30,Rural,Tier3,1,43,50,0
125,Female,26-30,Rural,Tier3,7,47,69,0
126,Female,26-30,Rural,Tier2,7,68,45,0
127,Male,31-35,Rural,Tier2,0,45,54,0
128,Male,31-35,Rural,Tier2,0,88,88,1
129,Male,26-30,Rural,Tier3,2,77,67,0
130,Female,31-35,Urban,Tier2,5,82,46,0
131,Male,26-30,Rural,Tier2,6,92,88,1
132,Male,26-30,Urban,Tier2,6,95,72,1
133,Male,26-30,Urban,Tier2,3,73,63,0
134,Female,26-30,Rural,Tier2,8,48,99,1
135,Female,26-30,Rural,Tier1,10,78,91,1
136,Male,31-35,Urban,Tier1,6,45,54,0
137,Male,26-30,Urban,Tier3,7,99,85,1
138,Female,26-30,Urban,Tier3,7,55,69,0
139,Male,26-30,Rural,Tier2,2,95,44,0
140,Female,31-35,Rural,Tier2,8,57,92,1
141,Male,20-25,Urban,Tier2,10,71,95,1
142,Male,26-30,Urban,Tier2,8,64,69,1
143,Female,31-35,Rural,Tier2,6,54,94,1
144,Female,20-25,Rural,Tier3,6,64,82,0
145,Male,26-30,Urban,Tier2,9,61,95,1
146,Male,31-35,Urban,Tier2,7,40,86,0
147,Male,26-30,Rural,Tier1,7,90,56,1
148,Female,26-30,Urban,Tier1,5,94,83,1
149,Female,31-35,Rural,Tier3,7,95,74,1
150,Male,26-30,Urban,Tier2,4,54,87,1
151,Male,26-30,Urban,Tier2,1,68,50,0
152,Female,31-35,Urban,Tier3,4,62,63,0
153,Female,20-25,Urban,Tier2,2,50,51,0
154,Male,26-30,Urban,Tier2,7,98,77,1
155,Male,20-25,Rural,Tier2,10,40,97,1
156,Female,31-35,Rural,Tier1,7,100,62,1
157,Female,26-30,Urban,Tier2,4,52,64,0
158,Female,20-25,Urban,Tier2,4,84,58,0
159,Male,31-35,Rural,Tier2,9,95,83,1
160,Male,31-35,Rural,Tier3,4,89,91,1
161,Male,26-30,Urban,Tier2,9,56,83,1
162,Male,26-30,Rural,Tier2,4,90,68,1
163,Male,26-30,Rural,Tier1,4,60,87,1
164,Female,20-25,Urban,Tier2,5,73,72,0
165,Female,31-35,Urban,Tier3,7,91,58,0
166,Female,31-35,Urban,Tier1,3,95,83,1
167,Female,31-35,Rural,Tier2,6,40,56,0
168,Male,26-30,Rural,Tier2,9,64,92,1
169,Female,20-25,Urban,Tier1,8,60,98,1
170,Male,26-30,Rural,Tier2,4,81,66,1
171,Male,20-25,Rural,Tier2,7,47,46,0
172,Male,31-35,Urban,Tier2,10,100,87,1
173,Female,26-30,Rural,Tier3,10,46,93,0
174,Female,26-30,Rural,Tier2,5,53,68,0
175,Female,31-35,Rural,Tier1,10,63,74,1
176,Female,20-25,Urban,Tier3,7,45,82,0
177,Male,26-30,Urban,Tier1,5,55,48,0
178,Male,20-25,Rural,Tier2,3,92,95,1
179,Male,26-30,Urban,Tier3,0,57,94,0
180,Male,31-35,Urban,Tier3,1,82,95,1
181,Male,20-25,Urban,Tier3,9,60,41,0
182,Male,20-25,Urban,Tier2,1,87,44,0
183,Female,26-30,Urban,Tier2,7,72,54,0
184,Male,31-35,Rural,Tier2,4,69,81,1
185,Male,20-25,Urban,Tier2,10,46,71,0
186,Female,20-25,Urban,Tier2,1,48,57,0
187,Female,26-30,Urban,Tier2,8,78,67,1
188,Male,31-35,Urban,Tier2,8,86,95,1
189,Male,26-30,Rural,Tier2,7,65,66,1
190,Male,26-30,Urban,Tier2,2,83,99,1
191,Female,20-25,Rural,Tier1,1,87,87,1
192,Female,31-35,Urban,Tier2,8,75,61,0
193,Male,26-30,Rural,Tier3,6,95,98,1
194,Male,31-35,Rural,Tier2,9,72,53,1
195,Male,26-30,Urban,Tier1,8,63,47,0
196,Female,26-30,Rural,Tier3,9,79,83,1
197,Male,26-30,Rural,Tier2,0,51,57,0
198,Female,31-35,Urban,Tier1,2,76,82,1
199,Female,20-25,Rural,Tier3,1,87,73,0
200,Male,26-30,Urban,Tier1,4,86,60,1
201,Male,31-35,Urban,Tier3,0,83,45,0
202,Female,26-30,Urban,Tier2,6,57,53,0
203,Male,26-30,Urban,Tier2,9,71,73,1
204,Female,20-25,Urban,Tier2,0,53,59,0
205,Male,31-35,Rural,Tier2,1,40,71,0
206,Female,20-25,Urban,Tier3,8,75,93,1
207,Female,20-25,Rural,Tier1,0,69,98,1
208,Male,31-35,Urban,Tier2,10,66,58,1
209,Male,26-30,Rural,Tier1,9,69,93,1
210,Female,20-25,Rural,Tier2,9,65,73,0
